result,movesCount,moves,durationSeconds,timestamp
lose,170,"['left', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'down', 'left', 'up', 'right', 'up', 'up', 'right', 'up', 'up', 'left', 'up', 'right', 'up', 'down', 'left', 'left', 'up', 'up', 'up', 'up', 'left', 'down', 'left', 'right', 'down', 'left', 'right', 'up', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'right', 'left', 'up', 'right', 'up', 'down', 'right', 'down', 'down', 'up', 'right', 'up', 'right', 'left', 'up', 'right', 'left', 'right', 'right', 'up', 'right', 'right', 'down', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'left', 'left', 'up', 'up', 'left', 'left', 'right', 'left', 'down', 'up', 'left', 'right', 'right', 'down', 'right', 'up', 'right', 'up', 'down', 'left', 'up', 'left', 'right', 'left', 'up', 'left', 'left', 'left', 'down', 'right', 'right', 'up', 'left', 'down', 'up', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'left', 'up', 'down', 'left', 'right', 'down', 'down', 'down', 'up', 'down']",230.739,2025-05-16T12:49:25.096Z
win,145,"['up', 'right', 'down', 'left', 'down', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'down', 'left', 'up', 'left', 'down', 'up', 'right', 'right', 'left', 'down', 'right', 'up', 'right', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'right', 'left', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'down', 'left', 'down', 'up', 'left', 'right', 'up', 'left', 'right', 'left', 'up', 'right', 'left', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'right', 'left', 'left', 'up', 'right', 'right', 'right', 'down', 'left', 'up', 'down', 'left', 'up', 'down', 'left', 'up', 'right', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'left', 'down', 'left', 'left', 'down', 'up', 'right', 'up', 'right', 'up', 'left', 'left', 'up', 'down', 'left', 'up', 'left', 'right', 'down', 'up', 'left', 'right', 'left', 'down']",780.878,2025-05-16T12:53:21.019Z
lose,122,"['up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'down', 'left', 'down', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'up', 'left', 'down', 'up', 'up', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'down']",16.741,2025-05-16T13:06:28.037Z
win,174,"['down', 'right', 'up', 'left', 'up', 'right', 'down', 'up', 'left', 'down', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'down', 'right', 'up', 'right', 'up', 'down', 'left', 'right', 'up', 'left', 'down', 'left', 'up', 'down', 'right', 'up', 'right', 'left', 'up', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'left', 'down', 'left', 'right', 'up', 'right', 'down', 'right', 'left', 'down', 'up', 'right', 'up', 'up', 'right', 'left', 'up', 'right', 'right', 'left', 'up', 'down', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'left', 'right', 'left', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'right', 'up', 'up', 'left', 'down', 'left', 'right', 'up', 'right', 'left', 'up', 'down', 'left', 'up', 'right', 'down', 'up', 'left', 'up', 'up', 'right', 'right', 'left', 'down', 'left', 'right', 'up', 'right', 'down', 'left', 'up', 'right', 'left', 'up', 'right', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'left', 'down', 'left', 'left', 'right', 'right', 'left', 'up', 'down', 'up', 'down', 'up', 'right', 'down', 'up', 'right', 'left', 'down', 'up', 'left']",202.763,2025-05-16T13:06:50.391Z
lose,123,"['right', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'left', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'up', 'left', 'up', 'down', 'right', 'down', 'up', 'left', 'up', 'left', 'up', 'up', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'up', 'right', 'right', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'left', 'right', 'up', 'left', 'up', 'left', 'left', 'right', 'up', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'up', 'left', 'up', 'up', 'left', 'up', 'right', 'right', 'up']",44.709,2025-05-16T13:10:25.972Z
win,148,"['up', 'left', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'down', 'down', 'left', 'left', 'up', 'up', 'up', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'right', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'right', 'down', 'up', 'right', 'down', 'up', 'left', 'left', 'right', 'up', 'up', 'right', 'down', 'right', 'up', 'right', 'down', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'up', 'left', 'up', 'right', 'up', 'up', 'left', 'up', 'right', 'right', 'down', 'left', 'left', 'down', 'down', 'right', 'right', 'up', 'up', 'up', 'left', 'right', 'up', 'right', 'up', 'right', 'up', 'down', 'left', 'up', 'left', 'down', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'left', 'right', 'up', 'right', 'left', 'down', 'right', 'up', 'right', 'left', 'down', 'left', 'right', 'up', 'left', 'down', 'up', 'left', 'down', 'right', 'down', 'up', 'left', 'right', 'left', 'up', 'up']",126.622,2025-05-16T13:11:14.092Z
win,156,"['down', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'right', 'down', 'up', 'down', 'left', 'right', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'up', 'left', 'left', 'right', 'up', 'up', 'left', 'up', 'up', 'right', 'up', 'up', 'up', 'up', 'right', 'up', 'left', 'up', 'up', 'down', 'left', 'up', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'left', 'right', 'down', 'up', 'left', 'up', 'right', 'up', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'up', 'down', 'up', 'left', 'left', 'right', 'left', 'down', 'right', 'down', 'right', 'left', 'up', 'right', 'left', 'right', 'up', 'up', 'down', 'left', 'up']",75.325,2025-05-16T13:13:24.684Z
lose,87,"['up', 'up', 'right', 'up', 'right', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'up', 'down', 'down', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'left', 'down', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'right', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'right', 'down', 'up', 'left', 'up', 'left', 'down', 'left', 'down', 'left', 'down', 'left', 'right', 'right', 'right', 'right', 'right', 'right']",48.49,2025-05-16T13:14:44.808Z
win,159,"['right', 'up', 'up', 'up', 'left', 'left', 'up', 'right', 'up', 'up', 'up', 'up', 'up', 'up', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'up', 'right', 'right', 'left', 'up', 'up', 'up', 'right', 'right', 'down', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'left', 'right', 'up', 'right', 'down', 'right', 'left', 'up', 'right', 'down', 'down', 'up', 'left', 'down', 'right', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'down', 'right', 'up', 'left', 'up', 'left', 'right', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'up', 'down', 'left', 'up', 'right', 'left', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'up', 'left', 'down', 'up', 'up', 'left', 'down', 'down', 'up', 'down', 'left', 'left', 'up', 'right', 'left', 'up', 'up', 'up', 'down', 'left', 'down', 'up', 'left', 'down', 'left', 'up', 'left', 'left', 'down', 'right', 'down', 'left', 'down', 'right', 'down', 'down', 'up', 'left', 'left', 'down']",118.335,2025-05-16T13:15:36.313Z
lose,98,"['up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'down', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'up', 'up', 'right', 'down', 'right', 'up', 'up', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'up', 'left', 'up', 'down', 'left', 'right', 'up', 'left', 'right', 'right', 'up', 'up', 'left', 'down', 'up', 'right', 'left', 'right', 'down', 'up', 'right', 'down', 'left', 'up', 'left', 'right', 'left', 'up', 'down', 'up', 'right', 'left', 'down', 'left', 'up', 'right', 'down', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'up', 'down', 'up']",66.111,2025-05-16T13:18:02.153Z
win,145,"['up', 'up', 'right', 'up', 'up', 'down', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'up', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'down', 'right', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'left', 'up', 'left', 'right', 'up', 'left', 'left', 'up', 'up', 'right', 'down', 'right', 'left', 'down', 'up', 'right', 'right', 'left', 'down', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'right', 'up', 'right', 'up', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'right', 'up', 'down', 'left', 'down', 'up', 'right', 'up', 'up', 'left', 'up', 'down', 'right', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'left', 'right', 'left', 'up', 'down', 'right', 'up', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'right', 'down', 'right']",146.216,2025-05-16T13:19:11.689Z
lose,101,"['up', 'up', 'up', 'right', 'right', 'right', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'up', 'left', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'right', 'up', 'right', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'right', 'right', 'up']",30.22,2025-05-16T13:21:45.421Z
lose,73,"['up', 'up', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'left', 'down', 'up', 'left', 'up', 'up', 'left', 'up', 'left', 'right', 'up', 'right', 'right', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'left', 'up', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'left', 'up', 'up', 'up', 'up', 'right', 'left', 'left', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'down', 'down', 'left']",15.023,2025-05-16T13:22:20.137Z
win,188,"['down', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'up', 'right', 'right', 'up', 'up', 'down', 'down', 'down', 'left', 'up', 'up', 'up', 'up', 'right', 'up', 'up', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'up', 'left', 'down', 'left', 'down', 'right', 'right', 'up', 'left', 'left', 'down', 'left', 'right', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'down', 'left', 'right', 'up', 'right', 'left', 'up', 'down', 'right', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'left', 'up', 'left', 'up', 'down', 'left', 'up', 'right', 'left', 'up', 'up', 'left', 'down', 'up', 'down', 'right', 'down', 'left', 'up', 'left', 'left', 'up', 'left', 'right', 'left', 'up', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'up', 'right', 'left', 'up', 'down', 'right', 'left', 'down', 'right', 'down', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'down', 'right', 'up', 'up', 'up', 'down', 'right', 'right', 'right', 'left', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'left', 'left', 'up', 'down', 'right', 'right', 'left', 'down', 'right', 'down', 'left', 'up', 'up', 'up', 'down', 'left', 'left', 'up', 'down', 'right', 'left', 'up', 'up', 'left', 'up', 'right', 'left', 'up', 'up', 'right']",154.036,2025-05-16T13:22:38.268Z
lose,87,"['up', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'left', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'down', 'left', 'down', 'up', 'up', 'up', 'down', 'down', 'up', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'up', 'up', 'up', 'right', 'right', 'right', 'right', 'up', 'up', 'up', 'left', 'up', 'left', 'down', 'down', 'down', 'down', 'right', 'right', 'right', 'up', 'up', 'up', 'up', 'left', 'up', 'down', 'right', 'right', 'right', 'down', 'up', 'up', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'left', 'up', 'right', 'right', 'right', 'right', 'right', 'up', 'up', 'up']",14.553,2025-05-16T13:25:25.975Z
lose,147,"['up', 'right', 'up', 'up', 'left', 'down', 'up', 'left', 'right', 'left', 'up', 'down', 'up', 'left', 'down', 'left', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'up', 'left', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'left', 'down', 'down', 'up', 'down', 'left', 'up', 'right', 'down', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'right', 'left', 'up', 'right', 'down', 'right', 'up', 'right', 'up', 'down', 'right', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'down', 'right', 'up', 'down', 'right', 'up', 'right', 'up', 'left', 'down', 'right', 'down', 'up', 'left', 'down', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'right', 'left', 'down', 'right', 'up', 'left', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'down', 'up', 'right', 'left', 'left']",100.145,2025-05-16T13:25:43.575Z
lose,144,"['up', 'left', 'up', 'up', 'left', 'left', 'up', 'up', 'right', 'right', 'right', 'right', 'right', 'right', 'right', 'left', 'left', 'left', 'left', 'up', 'up', 'up', 'up', 'up', 'up', 'left', 'left', 'down', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'down', 'left', 'up', 'down', 'left', 'right', 'down', 'up', 'left', 'up', 'right', 'up', 'left', 'left', 'right', 'up', 'left', 'right', 'up', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'down', 'right', 'left', 'down', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'right', 'up', 'up', 'left', 'up', 'down', 'left', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'right', 'up']",83.641,2025-05-16T13:27:28.783Z
win,150,"['up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'left', 'up', 'down', 'left', 'up', 'left', 'down', 'left', 'up', 'up', 'down', 'left', 'up', 'up', 'left', 'up', 'right', 'up', 'up', 'down', 'left', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'down', 'up', 'right', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'left', 'up', 'down', 'up', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'right', 'left', 'down', 'left', 'up', 'left', 'left', 'right', 'down', 'up', 'left', 'up', 'left', 'down', 'up', 'down', 'left', 'down', 'up', 'up', 'up', 'up', 'up', 'left', 'up', 'down', 'left', 'left', 'up', 'left', 'up', 'right', 'down', 'right', 'up', 'left', 'up', 'up', 'down', 'left', 'left', 'right', 'left', 'up', 'up']",113.488,2025-05-16T13:31:01.543Z
lose,162,"['up', 'up', 'right', 'up', 'left', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'up', 'left', 'down', 'left', 'up', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'left', 'left', 'down', 'down', 'right', 'up', 'up', 'right', 'left', 'up', 'down', 'left', 'right', 'up', 'up', 'left', 'left', 'down', 'right', 'up', 'down', 'left', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'left', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'down', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'right', 'left', 'up', 'left', 'up', 'down', 'right', 'left', 'up', 'right', 'up', 'left', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'left', 'right', 'down', 'left', 'up', 'up', 'down', 'right', 'up', 'left', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'up', 'down', 'left', 'up', 'right', 'left', 'down', 'up', 'left', 'right', 'down', 'left', 'down', 'up', 'left', 'down', 'right', 'up', 'up', 'down', 'right', 'left', 'up', 'left', 'down', 'down', 'left', 'right', 'right', 'left', 'up', 'left', 'right', 'left', 'right']",103.313,2025-05-16T13:32:57.951Z
lose,147,"['up', 'left', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'down', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'right', 'up', 'left', 'down', 'right', 'left', 'up', 'right', 'left', 'up', 'left', 'left', 'down', 'up', 'right', 'up', 'right', 'down', 'left', 'up', 'left', 'up', 'down', 'left', 'up', 'left', 'right', 'up', 'left', 'right', 'up', 'left', 'right', 'left', 'up', 'right', 'up', 'up', 'left', 'up', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'left', 'left', 'right', 'up', 'left', 'up', 'left', 'down', 'left', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'right', 'left', 'down', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'right', 'down', 'left', 'up', 'right', 'down', 'down']",114.668,2025-05-16T13:34:48.915Z
win,175,"['up', 'left', 'right', 'up', 'left', 'down', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'down', 'left', 'up', 'right', 'right', 'up', 'up', 'left', 'down', 'right', 'right', 'up', 'left', 'up', 'left', 'right', 'down', 'left', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'right', 'up', 'left', 'up', 'right', 'up', 'up', 'left', 'down', 'left', 'up', 'left', 'up', 'left', 'down', 'right', 'left', 'up', 'right', 'left', 'left', 'right', 'up', 'left', 'up', 'down', 'left', 'left', 'right', 'up', 'up', 'left', 'up', 'up', 'left', 'up', 'down', 'left', 'up', 'up', 'up', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'down', 'up', 'down', 'right', 'left', 'down', 'left', 'up', 'right', 'left', 'up', 'up', 'down', 'up', 'left', 'down', 'right', 'up', 'left', 'down', 'up', 'up', 'left', 'up', 'right', 'left', 'up', 'left', 'up', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'up', 'down', 'right', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'up', 'left', 'up', 'up', 'down', 'right', 'left', 'right', 'left', 'right', 'left', 'right', 'up', 'down', 'right', 'right', 'up', 'left', 'right', 'left', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'right', 'up', 'up', 'down', 'left', 'right', 'up', 'right']",166.855,2025-05-16T13:36:55.559Z
win,149,"['up', 'up', 'right', 'left', 'up', 'up', 'down', 'right', 'up', 'up', 'up', 'left', 'up', 'up', 'up', 'right', 'right', 'down', 'left', 'down', 'left', 'right', 'up', 'up', 'up', 'up', 'left', 'up', 'up', 'down', 'down', 'left', 'up', 'right', 'right', 'down', 'up', 'up', 'right', 'down', 'down', 'down', 'up', 'right', 'right', 'down', 'left', 'up', 'left', 'down', 'left', 'up', 'right', 'up', 'up', 'left', 'up', 'right', 'up', 'right', 'up', 'right', 'up', 'left', 'down', 'left', 'down', 'left', 'left', 'left', 'down', 'right', 'up', 'left', 'down', 'down', 'left', 'up', 'right', 'down', 'left', 'up', 'up', 'down', 'left', 'left', 'left', 'right', 'up', 'left', 'up', 'right', 'up', 'left', 'up', 'up', 'right', 'down', 'left', 'up', 'right', 'up', 'left', 'down', 'right', 'left', 'up', 'down', 'up', 'down', 'right', 'up', 'left', 'up', 'up', 'down', 'right', 'up', 'left', 'right', 'left', 'up', 'right', 'up', 'left', 'up', 'left', 'right', 'up', 'left', 'right', 'up', 'left', 'up', 'right', 'left', 'up', 'down', 'right', 'up', 'right', 'down', 'left', 'right', 'left', 'down', 'right', 'down', 'right']",86.469,2025-05-16T13:39:54.497Z
